Gene.ID	WBGene	name
21ur-1	0	0
21ur-10	0	0
21ur-100	0	0
21ur-1000	0	0
21ur-10003	0	0
21ur-10004	0	0
21ur-10007	0	0
21ur-10009	0	0
21ur-1001	0	0
21ur-10010	0	0
21ur-10012	0	0
21ur-10015	0	0
21ur-10016	0	0
21ur-10017	0	0
21ur-10019	0	0
21ur-1002	0	0
21ur-10020	0	0
21ur-10022	0	0
21ur-10026	0	0
21ur-10029	0	0
21ur-1003	0	0
21ur-10032	0	0
21ur-10033	0	0
21ur-10034	0	0
21ur-10036	0	0
21ur-10037	0	0
21ur-10039	0	0
21ur-10040	0	0
21ur-10042	0	0
21ur-10043	0	0
21ur-10045	0	0
21ur-10047	0	0
21ur-10048	0	0
21ur-10049	0	0
21ur-1005	0	0
21ur-10050	0	0
21ur-10051	0	0
21ur-10052	0	0
21ur-10053	0	0
21ur-10054	0	0
21ur-10055	0	0
21ur-10056	0	0
21ur-10057	0	0
21ur-10059	0	0
21ur-1006	0	0
21ur-10060	0	0
21ur-10062	0	0
21ur-10063	0	0
21ur-10065	0	0
21ur-10066	0	0
21ur-10067	0	0
21ur-10068	0	0
21ur-1007	0	0
21ur-10071	0	0
21ur-10072	0	0
21ur-10073	0	0
21ur-10074	0	0
21ur-10075	0	0
21ur-10078	0	0
21ur-1008	0	0
21ur-10080	0	0
21ur-10084	0	0
21ur-10086	0	0
21ur-1009	0	0
21ur-10093	0	0
21ur-10094	0	0
21ur-10095	0	0
21ur-10096	0	0
21ur-10097	0	0
21ur-10099	0	0
21ur-101	0	0
21ur-1010	0	0
21ur-10100	0	0
21ur-10101	0	0
21ur-10102	0	0
21ur-10104	0	0
21ur-10105	0	0
21ur-10106	0	0
21ur-10107	0	0
21ur-10109	0	0
21ur-1011	0	0
21ur-10111	0	0
21ur-10112	0	0
21ur-10113	0	0
21ur-10114	0	0
21ur-10115	0	0
21ur-10118	0	0
21ur-1012	0	0
21ur-10121	0	0
21ur-10124	0	0
21ur-10126	0	0
21ur-1013	0	0
21ur-10135	0	0
21ur-10136	0	0
21ur-10137	0	0
21ur-10138	0	0
21ur-10139	0	0
21ur-1014	0	0
21ur-10142	0	0
21ur-10143	0	0
21ur-10144	0	0
21ur-10147	0	0
21ur-10148	0	0
21ur-10149	0	0
21ur-1015	0	0
21ur-10153	0	0
21ur-10154	0	0
21ur-10155	0	0
21ur-10156	0	0
21ur-1016	0	0
21ur-10160	0	0
21ur-10163	0	0
21ur-10164	0	0
21ur-10165	0	0
21ur-10169	0	0
21ur-1017	0	0
21ur-10170	0	0
21ur-10171	0	0
21ur-10172	0	0
21ur-10175	0	0
21ur-10176	0	0
21ur-10177	0	0
21ur-10179	0	0
21ur-1018	0	0
21ur-10180	0	0
21ur-10181	0	0
21ur-10183	0	0
21ur-10184	0	0
21ur-10185	0	0
21ur-10186	0	0
21ur-10190	0	0
21ur-10193	0	0
21ur-10197	0	0
21ur-10198	0	0
21ur-10199	0	0
21ur-102	0	0
21ur-10201	0	0
21ur-10202	0	0
21ur-10205	0	0
21ur-10206	0	0
21ur-10207	0	0
21ur-10208	0	0
21ur-1021	0	0
21ur-10211	0	0
21ur-10212	0	0
21ur-10213	0	0
21ur-10214	0	0
21ur-10215	0	0
21ur-10218	0	0
21ur-1022	0	0
21ur-10220	0	0
21ur-10221	0	0
21ur-10222	0	0
21ur-10223	0	0
21ur-10226	0	0
21ur-10228	0	0
21ur-1023	0	0
21ur-10230	0	0
21ur-10231	0	0
21ur-10232	0	0
21ur-10233	0	0
21ur-10235	0	0
21ur-10237	0	0
21ur-10238	0	0
21ur-10241	0	0
21ur-10242	0	0
21ur-10243	0	0
21ur-10244	0	0
21ur-10245	0	0
21ur-10246	0	0
21ur-10247	0	0
21ur-10248	0	0
21ur-1025	0	0
21ur-10250	0	0
21ur-10252	0	0
21ur-10254	0	0
21ur-10255	0	0
21ur-10256	0	0
21ur-10257	0	0
21ur-10258	0	0
21ur-1026	0	0
21ur-10260	0	0
21ur-10261	0	0
21ur-10262	0	0
21ur-10263	0	0
21ur-10264	0	0
21ur-10265	0	0
21ur-10266	0	0
21ur-10268	0	0
21ur-10269	0	0
21ur-1027	0	0
21ur-10270	0	0
21ur-10274	0	0
21ur-10275	0	0
21ur-10276	0	0
21ur-10277	0	0
21ur-10278	0	0
21ur-1028	0	0
21ur-10281	0	0
21ur-10282	0	0
21ur-10283	0	0
21ur-10284	0	0
21ur-10286	0	0
21ur-10289	0	0
21ur-10290	0	0
21ur-10291	0	0
21ur-10295	0	0
21ur-10296	0	0
21ur-10299	0	0
21ur-103	0	0
21ur-1030	0	0
21ur-10300	0	0
21ur-10301	0	0
21ur-10308	0	0
21ur-10309	0	0
21ur-1031	0	0
21ur-10312	0	0
21ur-10318	0	0
21ur-10319	0	0
21ur-1032	0	0
21ur-10321	0	0
21ur-10324	0	0
21ur-10325	0	0
21ur-10327	0	0
21ur-10328	0	0
21ur-10331	0	0
21ur-10333	0	0
21ur-10334	0	0
21ur-10335	0	0
21ur-10338	0	0
21ur-10339	0	0
21ur-1034	0	0
21ur-10340	0	0
21ur-10343	0	0
21ur-10348	0	0
21ur-10349	0	0
21ur-10351	0	0
21ur-10354	0	0
21ur-10355	0	0
21ur-10357	0	0
21ur-10358	0	0
21ur-10359	0	0
21ur-1036	0	0
21ur-10360	0	0
21ur-10369	0	0
21ur-1037	0	0
21ur-10370	0	0
21ur-10371	0	0
21ur-10372	0	0
21ur-10373	0	0
21ur-10374	0	0
21ur-10376	0	0
21ur-10377	0	0
21ur-10378	0	0
21ur-1038	0	0
21ur-10380	0	0
21ur-10383	0	0
21ur-10385	0	0
21ur-10386	0	0
21ur-10388	0	0
21ur-1039	0	0
21ur-10390	0	0
21ur-10392	0	0
21ur-10393	0	0
21ur-10394	0	0
21ur-10395	0	0
21ur-10396	0	0
21ur-10397	0	0
21ur-10398	0	0
21ur-104	0	0
21ur-1040	0	0
21ur-10401	0	0
21ur-10402	0	0
21ur-10403	0	0
21ur-10404	0	0
21ur-10407	0	0
21ur-10410	0	0
21ur-10411	0	0
21ur-10414	0	0
21ur-10416	0	0
21ur-10417	0	0
21ur-10419	0	0
21ur-1042	0	0
21ur-10421	0	0
21ur-10422	0	0
21ur-10423	0	0
21ur-10425	0	0
21ur-10427	0	0
21ur-1043	0	0
21ur-10432	0	0
21ur-10433	0	0
21ur-10435	0	0
21ur-10436	0	0
21ur-10437	0	0
21ur-1044	0	0
21ur-10440	0	0
21ur-10441	0	0
21ur-10442	0	0
21ur-10443	0	0
21ur-10445	0	0
21ur-10446	0	0
21ur-10449	0	0
21ur-10450	0	0
21ur-10451	0	0
21ur-10453	0	0
21ur-10454	0	0
21ur-10457	0	0
21ur-1046	0	0
21ur-10460	0	0
21ur-10461	0	0
21ur-10462	0	0
21ur-10468	0	0
21ur-1047	0	0
21ur-10470	0	0
21ur-10471	0	0
21ur-10473	0	0
21ur-10474	0	0
21ur-10476	0	0
21ur-10477	0	0
21ur-10478	0	0
21ur-10479	0	0
21ur-10481	0	0
21ur-10482	0	0
21ur-10483	0	0
21ur-10484	0	0
21ur-10485	0	0
21ur-10486	0	0
21ur-10487	0	0
21ur-10489	0	0
21ur-10491	0	0
21ur-10492	0	0
21ur-10493	0	0
21ur-10495	0	0
21ur-10496	0	0
21ur-10498	0	0
21ur-10499	0	0
21ur-105	0	0
21ur-1050	0	0
21ur-10500	0	0
21ur-10502	0	0
21ur-10503	0	0
21ur-10504	0	0
21ur-10505	0	0
21ur-10506	0	0
21ur-10507	0	0
21ur-10508	0	0
21ur-1051	0	0
21ur-10511	0	0
21ur-10513	0	0
21ur-10514	0	0
21ur-10515	0	0
21ur-10518	0	0
21ur-1052	0	0
21ur-10521	0	0
21ur-10523	0	0
21ur-10524	0	0
21ur-10525	0	0
21ur-10528	0	0
21ur-1053	0	0
21ur-10530	0	0
21ur-10532	0	0
21ur-10533	0	0
21ur-10534	0	0
21ur-10535	0	0
21ur-10537	0	0
21ur-10538	0	0
21ur-10540	0	0
21ur-10541	0	0
21ur-10543	0	0
21ur-10544	0	0
21ur-10545	0	0
21ur-10547	0	0
21ur-10548	0	0
21ur-1055	0	0
21ur-10550	0	0
21ur-10551	0	0
21ur-10552	0	0
21ur-10554	0	0
21ur-10556	0	0
21ur-1056	0	0
21ur-10560	0	0
21ur-10566	0	0
21ur-10567	0	0
21ur-10568	0	0
21ur-1057	0	0
21ur-10570	0	0
21ur-10571	0	0
21ur-10572	0	0
21ur-10574	0	0
21ur-10575	0	0
21ur-10579	0	0
21ur-1058	0	0
21ur-10582	0	0
21ur-10584	0	0
21ur-10585	0	0
21ur-10588	0	0
21ur-10589	0	0
21ur-1059	0	0
21ur-10591	0	0
21ur-10592	0	0
21ur-10594	0	0
21ur-10595	0	0
21ur-10598	0	0
21ur-10599	0	0
21ur-1060	0	0
21ur-10600	0	0
21ur-10601	0	0
21ur-10602	0	0
21ur-10605	0	0
21ur-10606	0	0
21ur-10607	0	0
21ur-10608	0	0
21ur-1061	0	0
21ur-10612	0	0
21ur-10617	0	0
21ur-10618	0	0
21ur-10619	0	0
21ur-10620	0	0
21ur-10626	0	0
21ur-10627	0	0
21ur-10628	0	0
21ur-1063	0	0
21ur-10633	0	0
21ur-10636	0	0
21ur-10638	0	0
21ur-10640	0	0
21ur-10642	0	0
21ur-10646	0	0
21ur-1065	0	0
21ur-10652	0	0
21ur-10655	0	0
21ur-10658	0	0
21ur-10659	0	0
21ur-1066	0	0
21ur-10660	0	0
21ur-10661	0	0
21ur-10662	0	0
21ur-10663	0	0
21ur-10664	0	0
21ur-10675	0	0
21ur-10677	0	0
21ur-10678	0	0
21ur-1068	0	0
21ur-10681	0	0
21ur-10683	0	0
21ur-10684	0	0
21ur-10685	0	0
21ur-10686	0	0
21ur-10687	0	0
21ur-10688	0	0
21ur-1069	0	0
21ur-10690	0	0
21ur-10691	0	0
21ur-10692	0	0
21ur-10693	0	0
21ur-10694	0	0
21ur-10696	0	0
21ur-10699	0	0
21ur-1070	0	0
21ur-10700	0	0
21ur-10701	0	0
21ur-10708	0	0
21ur-1071	0	0
21ur-10711	0	0
21ur-10712	0	0
21ur-10714	0	0
21ur-10716	0	0
21ur-10719	0	0
21ur-1072	0	0
21ur-10720	0	0
21ur-10721	0	0
21ur-10722	0	0
21ur-10725	0	0
21ur-10726	0	0
21ur-10727	0	0
21ur-10728	0	0
21ur-1073	0	0
21ur-10732	0	0
21ur-10733	0	0
21ur-10734	0	0
21ur-10735	0	0
21ur-10736	0	0
21ur-10737	0	0
21ur-1074	0	0
21ur-10740	0	0
21ur-10742	0	0
21ur-10743	0	0
21ur-10744	0	0
21ur-10745	0	0
21ur-10747	0	0
21ur-10748	0	0
21ur-1075	0	0
21ur-10751	0	0
21ur-10756	0	0
21ur-1076	0	0
21ur-10761	0	0
21ur-10762	0	0
21ur-10764	0	0
21ur-10765	0	0
21ur-10767	0	0
21ur-10769	0	0
21ur-1077	0	0
21ur-10770	0	0
21ur-10771	0	0
21ur-10772	0	0
21ur-10774	0	0
21ur-10775	0	0
21ur-10776	0	0
21ur-10777	0	0
21ur-1078	0	0
21ur-10780	0	0
21ur-10782	0	0
21ur-10783	0	0
21ur-10787	0	0
21ur-1079	0	0
21ur-10791	0	0
21ur-10792	0	0
21ur-10793	0	0
21ur-10794	0	0
21ur-10795	0	0
21ur-10798	0	0
21ur-108	0	0
21ur-1080	0	0
21ur-10800	0	0
21ur-10802	0	0
21ur-10804	0	0
21ur-10806	0	0
21ur-10807	0	0
21ur-1081	0	0
21ur-10812	0	0
21ur-10816	0	0
21ur-10817	0	0
21ur-10819	0	0
21ur-1082	0	0
21ur-10820	0	0
21ur-10821	0	0
21ur-10822	0	0
21ur-10824	0	0
21ur-10825	0	0
21ur-10828	0	0
21ur-1083	0	0
21ur-10832	0	0
21ur-10835	0	0
21ur-10840	0	0
21ur-10841	0	0
21ur-10845	0	0
21ur-10846	0	0
21ur-10847	0	0
21ur-10850	0	0
21ur-10851	0	0
21ur-10855	0	0
21ur-10856	0	0
21ur-10857	0	0
21ur-10858	0	0
21ur-10859	0	0
21ur-1086	0	0
21ur-10860	0	0
21ur-10861	0	0
21ur-10862	0	0
21ur-10864	0	0
21ur-10865	0	0
21ur-10868	0	0
21ur-10869	0	0
21ur-1087	0	0
21ur-10870	0	0
21ur-10875	0	0
21ur-10876	0	0
21ur-10878	0	0
21ur-1088	0	0
21ur-10880	0	0
21ur-10881	0	0
21ur-10882	0	0
21ur-10884	0	0
21ur-10887	0	0
21ur-1089	0	0
21ur-10890	0	0
21ur-10892	0	0
21ur-10893	0	0
21ur-10894	0	0
21ur-10895	0	0
21ur-10896	0	0
21ur-10897	0	0
21ur-10899	0	0
21ur-109	0	0
21ur-1090	0	0
21ur-10901	0	0
21ur-10902	0	0
21ur-10904	0	0
21ur-10905	0	0
21ur-10906	0	0
21ur-1091	0	0
21ur-10910	0	0
21ur-10911	0	0
21ur-10913	0	0
21ur-10914	0	0
21ur-10916	0	0
21ur-10920	0	0
21ur-10922	0	0
21ur-10923	0	0
21ur-10924	0	0
21ur-10927	0	0
21ur-10928	0	0
21ur-1093	0	0
21ur-10930	0	0
21ur-10931	0	0
21ur-10932	0	0
