Gene.ID	WBGene	name
cel-miR-5545-5p	0	0
cel-miR-5546-3p	0	0
cel-miR-5547-3p	0	0
cel-miR-5548-3p	0	0
cel-miR-5549-3p	0	0
cel-miR-5549-5p	0	0
cel-miR-5550-3p	0	0
cel-miR-5550-5p	0	0
cel-miR-5551-3p	0	0
cel-miR-5551-5p	0	0
cel-miR-5552-3p	0	0
cel-miR-5552-5p	0	0
cel-miR-55-5p	0	0
cel-miR-5592-3p	0	0
cel-miR-5592-5p	0	0
cel-miR-5593-3p	0	0
cel-miR-5593-5p	0	0
cel-miR-5594-3p	0	0
cel-miR-5594-5p	0	0
cel-miR-5595-3p	0	0
cel-miR-56-3p	0	0
cel-miR-56-5p	0	0
cel-miR-57-3p	0	0
cel-miR-57-5p	0	0
cel-miR-58-3p	0	0
cel-miR-58-5p	0	0
cel-miR-59-3p	0	0
cel-miR-59-5p	0	0
cel-miR-60-3p	0	0
cel-miR-60-5p	0	0
cel-miR-61-3p	0	0
cel-miR-61-5p	0	0
cel-miR-62	0	0
cel-miR-63-3p	0	0
cel-miR-63-5p	0	0
cel-miR-64-3p	0	0
cel-miR-64-5p	0	0
cel-miR-65-3p	0	0
cel-miR-65-5p	0	0
cel-miR-66-3p	0	0
cel-miR-66-5p	0	0
cel-miR-67-3p	0	0
cel-miR-67-5p	0	0
cel-miR-70-3p	0	0
cel-miR-70-5p	0	0
cel-miR-71-3p	0	0
cel-miR-71-5p	0	0
cel-miR-72-3p	0	0
cel-miR-72-5p	0	0
cel-miR-73-3p	0	0
cel-miR-73-5p	0	0
cel-miR-74-3p	0	0
cel-miR-74-5p	0	0
cel-miR-75-3p	0	0
cel-miR-75-5p	0	0
cel-miR-76-3p	0	0
cel-miR-76-5p	0	0
cel-miR-77-3p	0	0
cel-miR-77-5p	0	0
cel-miR-78	0	0
cel-miR-784-3p	0	0
cel-miR-784-5p	0	0
cel-miR-785	0	0
cel-miR-786-3p	0	0
cel-miR-786-5p	0	0
cel-miR-787-3p	0	0
cel-miR-787-5p	0	0
cel-miR-788-3p	0	0
cel-miR-788-5p	0	0
cel-miR-789	0	0
cel-miR-790-3p	0	0
cel-miR-790-5p	0	0
cel-miR-791-3p	0	0
cel-miR-791-5p	0	0
cel-miR-792-3p	0	0
cel-miR-792-5p	0	0
cel-miR-793	0	0
cel-miR-79-3p	0	0
cel-miR-794-3p	0	0
cel-miR-794-5p	0	0
cel-miR-795-3p	0	0
cel-miR-795-5p	0	0
cel-miR-79-5p	0	0
cel-miR-796	0	0
cel-miR-797-5p	0	0
cel-miR-799	0	0
cel-miR-800-3p	0	0
cel-miR-80-3p	0	0
cel-miR-80-5p	0	0
cel-miR-81-3p	0	0
cel-miR-81-5p	0	0
cel-miR-82-3p	0	0
cel-miR-82-5p	0	0
cel-miR-83-3p	0	0
cel-miR-83-5p	0	0
cel-miR-84-3p	0	0
cel-miR-84-5p	0	0
cel-miR-85-3p	0	0
cel-miR-85-5p	0	0
cel-miR-86-3p	0	0
cel-miR-86-5p	0	0
cel-miR-87-3p	0	0
cel-miR-87-5p	0	0
cel-miR-90-3p	0	0
cel-miR-90-5p	0	0
