Gene.ID	name	Row.names
21ur.type2-1316	21ur.type2-1316	21ur.type2-1316
21ur.type2-1324	21ur.type2-1324	21ur.type2-1324
21ur.type2-1325	21ur.type2-1325	21ur.type2-1325
21ur.type2-1326	21ur.type2-1326	21ur.type2-1326
21ur.type2-1328	21ur.type2-1328	21ur.type2-1328
21ur.type2-1329	21ur.type2-1329	21ur.type2-1329
21ur.type2-1334	21ur.type2-1334	21ur.type2-1334
21ur.type2-1336	21ur.type2-1336	21ur.type2-1336
21ur.type2-1338	21ur.type2-1338	21ur.type2-1338
21ur.type2-1342	21ur.type2-1342	21ur.type2-1342
21ur.type2-1346	21ur.type2-1346	21ur.type2-1346
21ur.type2-1349	21ur.type2-1349	21ur.type2-1349
21ur.type2-135	21ur.type2-135	21ur.type2-135
21ur.type2-1352	21ur.type2-1352	21ur.type2-1352
21ur.type2-1353	21ur.type2-1353	21ur.type2-1353
21ur.type2-1360	21ur.type2-1360	21ur.type2-1360
21ur.type2-1375	21ur.type2-1375	21ur.type2-1375
21ur.type2-1378	21ur.type2-1378	21ur.type2-1378
21ur.type2-1382	21ur.type2-1382	21ur.type2-1382
21ur.type2-1383	21ur.type2-1383	21ur.type2-1383
21ur.type2-1391	21ur.type2-1391	21ur.type2-1391
21ur.type2-1392	21ur.type2-1392	21ur.type2-1392
21ur.type2-1395	21ur.type2-1395	21ur.type2-1395
21ur.type2-14	21ur.type2-14	21ur.type2-14
21ur.type2-1400	21ur.type2-1400	21ur.type2-1400
21ur.type2-1407	21ur.type2-1407	21ur.type2-1407
21ur.type2-1415	21ur.type2-1415	21ur.type2-1415
21ur.type2-1418	21ur.type2-1418	21ur.type2-1418
21ur.type2-1419	21ur.type2-1419	21ur.type2-1419
21ur.type2-142	21ur.type2-142	21ur.type2-142
21ur.type2-1426	21ur.type2-1426	21ur.type2-1426
21ur.type2-1436	21ur.type2-1436	21ur.type2-1436
21ur.type2-144	21ur.type2-144	21ur.type2-144
21ur.type2-1440	21ur.type2-1440	21ur.type2-1440
21ur.type2-145	21ur.type2-145	21ur.type2-145
21ur.type2-1455	21ur.type2-1455	21ur.type2-1455
21ur.type2-1457	21ur.type2-1457	21ur.type2-1457
21ur.type2-1459	21ur.type2-1459	21ur.type2-1459
21ur.type2-1461	21ur.type2-1461	21ur.type2-1461
21ur.type2-1462	21ur.type2-1462	21ur.type2-1462
21ur.type2-1477	21ur.type2-1477	21ur.type2-1477
21ur.type2-1483	21ur.type2-1483	21ur.type2-1483
21ur.type2-1495	21ur.type2-1495	21ur.type2-1495
21ur.type2-15	21ur.type2-15	21ur.type2-15
21ur.type2-150	21ur.type2-150	21ur.type2-150
21ur.type2-1501	21ur.type2-1501	21ur.type2-1501
21ur.type2-1502	21ur.type2-1502	21ur.type2-1502
21ur.type2-1503	21ur.type2-1503	21ur.type2-1503
21ur.type2-1509	21ur.type2-1509	21ur.type2-1509
21ur.type2-1514	21ur.type2-1514	21ur.type2-1514
21ur.type2-1520	21ur.type2-1520	21ur.type2-1520
21ur.type2-1531	21ur.type2-1531	21ur.type2-1531
21ur.type2-1533	21ur.type2-1533	21ur.type2-1533
21ur.type2-1536	21ur.type2-1536	21ur.type2-1536
21ur.type2-1538	21ur.type2-1538	21ur.type2-1538
21ur.type2-1544	21ur.type2-1544	21ur.type2-1544
21ur.type2-1548	21ur.type2-1548	21ur.type2-1548
21ur.type2-155	21ur.type2-155	21ur.type2-155
21ur.type2-1552	21ur.type2-1552	21ur.type2-1552
21ur.type2-1557	21ur.type2-1557	21ur.type2-1557
21ur.type2-1558	21ur.type2-1558	21ur.type2-1558
21ur.type2-1559	21ur.type2-1559	21ur.type2-1559
21ur.type2-1560	21ur.type2-1560	21ur.type2-1560
